benchmark_name,map_name,score,success,invalid_volume,timeout,wrong_location,unreachable,unknown_error,benchmark_duration,success_duration,failed_duration,success_paths_distance,voxel_size,octree_depth,agent_radius,agent_half_height,find_path_user_data,graph_node_count,is_async,dynamic_update_rate,worker_threads,min_recommended_success
DefaultName,UEDPIE_0_InternalBenchmark,136.374893,712,0,0,4,42,0,2.000000,0.706405,1.244186,2890077.533356,30.000000,2,0.000000,0.000000,0,121477,0,0.010000,5,16605
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,124.135712,16275,0,0,100,1123,0,60.000000,18.312420,40.101907,68196755.745621,30.000000,2,0.000000,0.000000,0,121477,0,0.010000,5,16605
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,128.277390,11876,0,0,62,808,0,40.000000,12.822847,26.413987,49346444.260025,30.000000,2,0.000000,0.000000,0,121477,0,0.010000,5,8302
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,124.348778,10140,0,0,60,762,0,40.000000,11.233091,27.859599,41904633.225510,30.000000,2,0.000000,0.000000,0,121477,0,0.010000,5,8302
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,207.135986,45421,0,0,635,1994,0,40.000000,14.895678,24.357161,185125851.838020,60.000000,2,0.000000,0.000000,0,37143,0,0.010000,5,1207
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,203.906311,11406,0,0,164,475,0,10.000000,3.817165,6.005777,46700638.242538,60.000000,2,0.000000,0.000000,0,37143,0,0.010000,5,1207
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,80.276772,233,0,35,140240,0,10759074,10.000000,0.427454,7.198365,2402022.703369,70.000000,2,0.000000,0.000000,0,249724,0,0.010000,5,11094
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,89.556137,2539,0,1646,51,14,0,10.000000,4.231338,5.582165,26525961.118134,70.000000,2,0.000000,0.000000,0,249724,0,0.010000,5,11094
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,91.613907,15723,0,6307,284,66,0,60.000000,25.427477,33.157102,163065732.815308,70.000000,2,0.000000,0.000000,0,249724,0,0.010000,5,11094
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,91.352699,69214,0,0,919,695,0,200.000000,111.922003,83.417387,715706383.995316,70.000000,2,0.000000,0.000000,0,249724,0,0.010000,5,11094
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,91.480446,69193,0,0,947,662,0,200.000000,111.777275,83.333851,715780446.269821,70.000000,2,0.000000,0.000000,0,249724,0,0.010000,5,11094
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,10.675143,9688,0,3102,156,24,0,200.000000,132.124266,67.037396,98731181.119095,70.000000,3,0.000000,0.000000,0,251296,0,0.010000,5,5808
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,111.188240,100267,0,0,1375,808,0,200.000000,135.960349,57.717814,1058203425.779572,70.000000,1,0.000000,0.000000,0,359984,0,0.010000,5,88752
FreeVersionBeforeChanges,UEDPIE_0_InternalBenchmark,14.749619,13689,0,1385,506,53,0,200.000000,143.778270,44.602644,148447231.769806,70.000000,0,0.000000,0.000000,0,1420032,0,0.010000,5,710016
